seed,model,calibration_method,macro_f1,balanced_accuracy,ece,brier,nll,aurc,threshold,coverage,selective_accuracy,fit_seconds
20260821,random_forest,isotonic,0.7138922446050291,0.7032021377621946,0.04025948015365883,0.3381111670486479,0.7257591230364159,0.07041877807327794,0.79,0.5098538149340323,0.9618206318311124,4.966144000005443
20260821,extra_trees,isotonic,0.6918555214927278,0.6807811121040991,0.037616815106695164,0.37164971104499606,0.8232840868122197,0.08778472021105681,0.79,0.4397638646802122,0.9566035006509475,3.948128500021994
20260821,hist_gradient_boosting,isotonic,0.7197547497905135,0.7099792443505218,0.05550628512217417,0.33534659498420943,0.6947078445813675,0.06867828581811392,0.76,0.5208844896245499,0.9625070223003834,35.098693200037815
20260822,random_forest,isotonic,0.7512664265796263,0.7351746137918143,0.015368853732588112,0.2825974350117988,0.5435253605808393,0.05268696783580202,0.79,0.5543884545696438,0.9671572884764822,5.478030900005251
20260822,extra_trees,isotonic,0.7219260887391142,0.7066226752166462,0.022086715130996453,0.32104859553342074,0.6183018378273458,0.07045939148311628,0.78,0.48228019715418824,0.9561253710952894,3.907770000048913
20260822,hist_gradient_boosting,isotonic,0.7534090939784569,0.7380479626516647,0.03511138095758071,0.28318441808247224,0.5569558434010747,0.05272586109311086,0.74,0.5552880655829099,0.965499144324016,32.7056229999871
20260823,random_forest,isotonic,0.7080075710556115,0.6963718451955794,0.048766101602075625,0.3467203880996122,0.7579681419322516,0.07645817734078866,0.77,0.5667791001081907,0.9391183273821555,5.366662000014912
20260823,extra_trees,isotonic,0.6800926630463189,0.6682050245446307,0.05139785063876433,0.38629309196452655,0.9628561100398847,0.09974823261287621,0.78,0.49942086170686695,0.924102250426893,4.086806799983606
20260823,hist_gradient_boosting,isotonic,0.7130163099101557,0.7030175074105895,0.04415692965948039,0.3489414808996654,0.7253105544859869,0.07895750739852819,0.74,0.5763253357092853,0.9331478168687471,32.39383680000901
20260824,random_forest,isotonic,0.7406243982692757,0.7246602986826405,0.014887309324092055,0.29652452367847554,0.5671182327250346,0.05984954127182102,0.77,0.5385713921403616,0.9629954069794971,5.518263200006913
20260824,extra_trees,isotonic,0.7118738108277509,0.6966568338041027,0.018137520440282263,0.33438026364499923,0.6342504891764065,0.07948701584779602,0.77,0.4608420676816362,0.9528526368214266,4.3723969999700785
20260824,hist_gradient_boosting,isotonic,0.7452604386237953,0.7293057578925531,0.03272364623108352,0.2934286154050738,0.5663167729613812,0.05832570455444957,0.75,0.5297477877234591,0.9632936985510037,31.72242800000822
20260825,random_forest,isotonic,0.7499877167652556,0.7337683395449048,0.019790827557826796,0.28130629212291436,0.5438429105757792,0.05215383368261833,0.79,0.5619867280262388,0.9665211391861017,5.872605899989139
20260825,extra_trees,isotonic,0.7212130665984591,0.7060296608378391,0.02748530645589437,0.3169728789180893,0.6117265449524983,0.06964285620793237,0.77,0.4858508555592281,0.9587628865979382,4.087078200012911
20260825,hist_gradient_boosting,isotonic,0.750997659173972,0.7357631633436421,0.031494403120146876,0.28354211728760415,0.552149180149953,0.0538449529740076,0.77,0.5244717906994483,0.9701376769439597,31.26303720002761
