protocol,train_rows,calibration_rows,test_rows,macro_f1,balanced_accuracy,accuracy,ece_15_bin,threshold,automatic_coverage,selective_accuracy,wrong_automatic_decisions
stratified_rows,227100,75704,75723,0.7612169503131009,0.7555149422477907,0.7990570896557189,0.06539692279002352,0.83,0.6147405675950504,0.955187969924812,2086
attack_type_aware,221795,78133,78599,0.7153695743758269,0.7117162663285864,0.7475794857440934,0.09986228081641327,0.85,0.520604587844629,0.9647107700579193,1444
strict_family_file,196193,89386,92948,0.562676818714183,0.578970913287165,0.5768279037741533,0.09358402421588058,0.75,0.3443753496578732,0.8691617982442438,4188
