family,f1,precision,recall,support
Benign,0.6161288093428235,0.6388650042992261,0.5949552916054984,14986
BruteForce,0.5300400534045394,0.6328374070138151,0.45597243491577333,2612
DDoS,0.845851438030209,0.9489322191272052,0.7629712579320642,10716
DoS,0.8719639139486468,0.7987921169739352,0.9598930481283422,10472
Mirai,0.9975298804780877,0.9992816091954023,0.9957842825326122,12572
Recon,0.5861894651703569,0.5558964525407478,0.6199743370402053,9352
Spoofing,0.7810063126624582,0.8170340875983296,0.7480216946741354,11247
Web,0.49424672196949426,0.4447387430772935,0.5561577838000602,6642
