seed,protocol,macro_f1,balanced_accuracy,accuracy,ece_15_bin,threshold,coverage,selective_accuracy,wrong_automatic_decisions
20260821,attack_type_aware,0.7153695743758269,0.7117162663285864,0.7475794857440934,0.09986228081641324,0.85,0.520604587844629,0.9647107700579193,1444
20260821,strict_family_file,0.5627044527925081,0.5789989194315077,0.5768324565084079,0.09358447073302861,0.75,0.34437164466535414,0.8691930394576526,4187
20260822,attack_type_aware,0.7482578031407584,0.7400424129379585,0.7928613965510688,0.062091838852027154,0.84,0.5566311468139833,0.967084746534338,1446
20260822,strict_family_file,0.6723811077722253,0.6796934914061024,0.7098147954378989,0.13577960923681817,0.74,0.5188448257821492,0.960654216916065,1951
20260823,attack_type_aware,0.7058506116543009,0.7009439749059689,0.7366384522370012,0.10039044657453691,0.85,0.542977152676128,0.9480297240910476,2217
20260823,strict_family_file,0.6810694879999449,0.6731291913986581,0.6977263609849182,0.10393791207031998,0.75,0.3240559031128363,0.9804269271948608,585
20260824,attack_type_aware,0.7355237304309723,0.7271599248281411,0.7781220513605182,0.06460562623471781,0.85,0.518106240277459,0.9641178352570571,1458
20260824,strict_family_file,0.6215712901028467,0.6163206056554174,0.6405283119302682,0.07738812089886116,0.75,0.3689311775012753,0.9092220752675243,3020
20260825,attack_type_aware,0.7488176380598855,0.7410520412219272,0.7931656962701177,0.06520336701443821,0.84,0.5637537820040172,0.9670545257745907,1461
20260825,strict_family_file,0.6570349436652738,0.6602902879607577,0.7886496551362409,0.1605062994944505,0.73,0.5295166662295769,0.9767223020157496,940
