model,feature_set,features,accuracy,balanced_accuracy,macro_f1,ece_15_bin,confidence_threshold,automatic_coverage,selective_accuracy
Random Forest,full_features,39,0.579485303610621,0.5787237852145365,0.5653998304453698,0.07512351728442894,0.75,0.3501850497052115,0.8613475068358475
Random Forest,leakage_controlled,37,0.5768279037741533,0.578970913287165,0.562676818714183,0.09358402421164091,0.75,0.3443753496578732,0.8691617982442438
Extra Trees,leakage_controlled,37,0.5641111158927572,0.5668070791214286,0.5496319069651089,0.09268779938163846,0.75,0.3391896544304342,0.8506359628255147
