family,f1,precision,recall,support
Benign,0.6391381363068792,0.565867955573838,0.7342050837280673,14989
BruteForce,0.3975770925110132,0.3817412759957702,0.4147836078130984,2611
DDoS,0.7060354926888532,0.6540718707291583,0.7669683257918553,10608
DoS,0.5814608292386684,0.618365429779239,0.5487131395227676,9597
Mirai,0.9879976333361508,0.982516600823737,0.9935401614959626,11765
Recon,0.477293683725219,0.41360367558929284,0.5641689373297003,14680
Spoofing,0.3355113831762845,0.5155358275206088,0.24867455138662317,19616
Web,0.3764002987303958,0.3935135135135135,0.36071349922924467,9082
